FE, 2AC
Sample-Nr, Sample
00, 3FF
01, 3AE
02, 3AE
03, 3AC
04, 3A9
05, 3A8
06, 3AC
07, 3AD
08, 3AE
09, 3A7
0A, 3A9
0B, 3AD
0C, 3AE
0D, 3AC
0E, 3A6
0F, 3A7
10, 3AD
11, 3AC
12, 3B0
13, 3AE
14, 3B1
15, 3AE
16, 3B5
17, 3B3
18, 3B2
19, 3B0
1A, 3B0
1B, 3B2
1C, 3B4
1D, 3B1
1E, 3B1
1F, 3B0
20, 3B1
21, 3AD
22, 3B2
23, 3B1
24, 3B2
25, 3B0
26, 3AF
27, 3AD
28, 3B0
29, 3B1
2A, 3B0
2B, 3B0
2C, 3B0
2D, 3B1
2E, 3B0
2F, 3B0
30, 3B0
31, 3B0
32, 3B1
33, 3B0
34, 3B1
35, 3B0
36, 3AD
37, 3B0
38, 3AF
39, 3B1
3A, 3AE
3B, 3AF
3C, 3B0
3D, 3AE
3E, 3AE
3F, 3AF
40, 3AF
41, 3B0
42, 3B1
43, 3AE
44, 3AF
45, 3B1
46, 3B1
47, 3B3
48, 3AF
49, 3B0
4A, 3AF
4B, 3AF
4C, 3B1
4D, 3AF
4E, 3B1
4F, 3AF
50, 3AD
51, 3AF
52, 3B0
53, 3AF
54, 3AF
55, 3B0
56, 3AF
57, 3AF
58, 3AF
59, 3B1
5A, 3B2
5B, 3B0
5C, 3AF
5D, 3AE
5E, 3AF
5F, 3AB
60, 3AC
61, 3AC
62, 3A9
63, 3A7
64, 3A7
65, 3AC
66, 3AA
67, 3A7
68, 3A5
69, 3A7
6A, 3AC
6B, 3AC
6C, 3AA
6D, 3A6
6E, 3A6
6F, 3AC
70, 3AC
71, 3AC
72, 3A7
73, 3A6
74, 3AA
75, 3AC
76, 3AD
77, 3A8
78, 3A7
79, 3AA
7A, 3AA
7B, 3AC
7C, 3A7
7D, 3A9
7E, 3A9
7F, 3AA
80, 3AA
81, 3A6
82, 3A6
83, 3A8
84, 3AC
85, 3A9
86, 3A4
87, 3A6
88, 3AA
89, 3AC
8A, 3AB
8B, 3A8
8C, 3A7
8D, 3A8
8E, 3AC
8F, 3AC
90, 3A8
91, 3AC
92, 3B0
93, 3AE
94, 3B0
95, 3B0
96, 3AE
97, 3AE
98, 3AE
99, 3AE
9A, 3B0
9B, 3AE
9C, 3B0
9D, 3AE
9E, 3AE
9F, 3AD
A0, 3B0
A1, 3AE
A2, 3B0
A3, 3AE
A4, 3AB
A5, 3AE
A6, 3B0
A7, 3B0
A8, 3AF
A9, 3AD
AA, 3AD
AB, 3AD
AC, 3B0
AD, 3B0
AE, 3B0
AF, 3AD
B0, 3AD
B1, 3AD
B2, 3B0
B3, 3B0
B4, 3AE
B5, 3AF
B6, 3AE
B7, 3AE
B8, 3AE
B9, 3AD
BA, 3AF
BB, 3AE
BC, 3AF
BD, 3AE
BE, 3AE
BF, 3AF
C0, 3AE
C1, 3AF
C2, 3AF
C3, 3B0
C4, 3AF
C5, 3AF
C6, 3AF
C7, 3AC
C8, 3AF
C9, 3AD
CA, 3B2
CB, 3AF
CC, 3AD
CD, 3AD
CE, 3AF
CF, 3AF
D0, 3AF
D1, 3AE
D2, 3AF
D3, 3AE
D4, 3AF
D5, 3AE
D6, 3B0
D7, 3AF
D8, 3B1
D9, 3AE
DA, 3AD
DB, 3AD
DC, 3B0
DD, 3AF
DE, 3B1
DF, 3AC
E0, 3A4
E1, 3A3
E2, 3AB
E3, 3AA
E4, 3AD
E5, 3A4
E6, 3A6
E7, 3A9
E8, 3AB
E9, 3AC
EA, 3A6
EB, 3A6
EC, 3A9
ED, 3AB
EE, 3AA
EF, 3A6
F0, 3A6
F1, 3AA
F2, 3AC
F3, 3AB
F4, 3A4
F5, 3A5
F6, 3A9
F7, 3AA
F8, 3A8
F9, 3A6
FA, 3A6
FB, 3AA
FC, 3AA
FD, 3A9
