FE, 3EA
Sample-Nr, Sample
00, 3FF
01, 3F0
02, 3F0
03, 3F0
04, 3EA
05, 3EC
06, 3ED
07, 3F0
08, 3F0
09, 3EC
0A, 3EC
0B, 3EE
0C, 3EF
0D, 3F0
0E, 3EC
0F, 3EC
10, 3F0
11, 3F0
12, 3EE
13, 3EE
14, 3F5
15, 3F7
16, 3F6
17, 3F4
18, 3F4
19, 3F3
1A, 3F4
1B, 3F5
1C, 3F3
1D, 3F3
1E, 3F1
1F, 3F2
20, 3F1
21, 3F3
22, 3F3
23, 3F3
24, 3F1
25, 3F3
26, 3F0
27, 3F1
28, 3F0
29, 3F2
2A, 3F3
2B, 3F2
2C, 3F0
2D, 3F2
2E, 3F3
2F, 3F4
30, 3F3
31, 3F4
32, 3F2
33, 3F3
34, 3F4
35, 3F3
36, 3F1
37, 3F2
38, 3EF
39, 3F2
3A, 3F2
3B, 3F2
3C, 3F0
3D, 3F2
3E, 3F0
3F, 3F2
40, 3F2
41, 3F1
42, 3F1
43, 3F1
44, 3F3
45, 3F3
46, 3F5
47, 3F2
48, 3F1
49, 3F1
4A, 3F1
4B, 3F3
4C, 3F3
4D, 3F2
4E, 3F0
4F, 3F2
50, 3F2
51, 3F3
52, 3F4
53, 3F2
54, 3F2
55, 3F2
56, 3F3
57, 3F3
58, 3F1
59, 3F5
5A, 3F3
5B, 3F2
5C, 3F2
5D, 3F1
5E, 3EA
5F, 3E9
60, 3EE
61, 3ED
62, 3EE
63, 3E9
64, 3EA
65, 3EE
66, 3EC
67, 3EE
68, 3E8
69, 3EA
6A, 3ED
6B, 3EC
6C, 3ED
6D, 3E7
6E, 3E9
6F, 3ED
70, 3ED
71, 3EF
72, 3E8
73, 3EA
74, 3EC
75, 3EE
76, 3EF
77, 3EC
78, 3EA
79, 3EC
7A, 3ED
7B, 3EE
7C, 3EA
7D, 3EA
7E, 3ED
7F, 3EE
80, 3EC
81, 3EA
82, 3E9
83, 3F0
84, 3EC
85, 3EB
86, 3E8
87, 3E8
88, 3EE
89, 3EE
8A, 3EE
8B, 3E8
8C, 3E8
8D, 3EF
8E, 3F0
8F, 3F0
90, 3EA
91, 3EA
92, 3ED
93, 3F0
94, 3F4
95, 3F0
96, 3F1
97, 3F0
98, 3F3
99, 3F2
9A, 3F0
9B, 3F1
9C, 3F0
9D, 3F0
9E, 3F0
9F, 3F2
A0, 3F0
A1, 3F1
A2, 3F1
A3, 3F1
A4, 3F3
A5, 3F3
A6, 3F3
A7, 3F3
A8, 3F1
A9, 3F1
AA, 3F2
AB, 3F3
AC, 3F2
AD, 3F3
AE, 3F0
AF, 3F0
B0, 3F1
B1, 3F0
B2, 3F2
B3, 3F0
B4, 3F0
B5, 3EF
B6, 3EE
B7, 3F0
B8, 3EF
B9, 3F3
BA, 3F0
BB, 3F3
BC, 3F1
BD, 3F1
BE, 3F1
BF, 3F3
C0, 3F3
C1, 3F2
C2, 3F1
C3, 3F1
C4, 3F1
C5, 3F3
C6, 3EF
C7, 3F1
C8, 3F0
C9, 3F1
CA, 3F1
CB, 3F1
CC, 3EF
CD, 3F1
CE, 3F2
CF, 3F2
D0, 3F2
D1, 3F2
D2, 3F0
D3, 3F2
D4, 3F3
D5, 3F3
D6, 3F2
D7, 3F2
D8, 3F1
D9, 3F1
DA, 3F2
DB, 3F2
DC, 3F2
DD, 3EE
DE, 3EC
DF, 3EC
E0, 3E6
E1, 3E7
E2, 3ED
E3, 3EE
E4, 3EB
E5, 3E7
E6, 3E6
E7, 3EC
E8, 3EF
E9, 3ED
EA, 3E9
EB, 3E9
EC, 3EC
ED, 3EE
EE, 3EE
EF, 3E9
F0, 3EA
F1, 3EE
F2, 3ED
F3, 3EB
F4, 3E9
F5, 3E8
F6, 3EC
F7, 3EC
F8, 3EA
F9, 3E8
FA, 3E7
FB, 3EC
FC, 3EC
FD, 3EC
