FE, 6C
Sample-Nr, Sample
00, E4
01, 6A
02, 6B
03, 6C
04, 69
05, 69
06, 6B
07, 6B
08, 6A
09, 69
0A, 6B
0B, 6A
0C, 6B
0D, 69
0E, 6A
0F, 6C
10, 6B
11, 6A
12, 6A
13, 6A
14, 6C
15, 6B
16, 6B
17, 6D
18, 6B
19, 6A
1A, 69
1B, 69
1C, 6B
1D, 6B
1E, 69
1F, 6A
20, 6A
21, 69
22, 69
23, 6B
24, 6A
25, 6A
26, 69
27, 6A
28, 6A
29, 69
2A, 6B
2B, 6A
2C, 6B
2D, 6A
2E, 69
2F, 69
30, 69
31, 6C
32, 6A
33, 6A
34, 6B
35, 69
36, 6B
37, 6B
38, 6B
39, 6B
3A, 6B
3B, 6A
3C, 69
3D, 6A
3E, 6C
3F, 6C
40, 6A
41, 6A
42, 6B
43, 6E
44, 6B
45, 6B
46, 6E
47, 6C
48, 6E
49, 6C
4A, 6B
4B, 6C
4C, 6C
4D, 6C
4E, 6A
4F, 6B
50, 6B
51, 6B
52, 6C
53, 6C
54, 6E
55, 6C
56, 6A
57, 6C
58, 6C
59, 6E
5A, 6C
5B, 6B
5C, 6A
5D, 6C
5E, 6C
5F, 6C
60, 6E
61, 6B
62, 6B
63, 6B
64, 6C
65, 6C
66, 6B
67, 6C
68, 6B
69, 6B
6A, 6A
6B, 6C
6C, 6C
6D, 6D
6E, 6C
6F, 6A
70, 6C
71, 6C
72, 6D
73, 6D
74, 6C
75, 6A
76, 67
77, 65
78, 63
79, 67
7A, 6B
7B, 68
7C, 6D
7D, 6C
7E, 6A
7F, 6D
80, 6C
81, 6F
82, 6E
83, 6B
84, 6C
85, 6C
86, 6D
87, 6C
88, 6D
89, 6C
8A, 6C
8B, 6D
8C, 6C
8D, 6D
8E, 6C
8F, 6B
90, 6B
91, 6E
92, 6C
93, 6D
94, 6E
95, 6B
96, 6C
97, 6C
98, 6B
99, 6D
9A, 6D
9B, 6C
9C, 6B
9D, 6D
9E, 6B
9F, 6A
A0, 6E
A1, 6C
A2, 6E
A3, 6A
A4, 6B
A5, 6D
A6, 6B
A7, 6D
A8, 6C
A9, 6C
AA, 6C
AB, 6D
AC, 6C
AD, 6C
AE, 6D
AF, 6B
B0, 6B
B1, 6C
B2, 6B
B3, 6D
B4, 6C
B5, 6B
B6, 6B
B7, 6B
B8, 6C
B9, 6A
BA, 6B
BB, 6B
BC, 6C
BD, 6C
BE, 6C
BF, 6A
C0, 6B
C1, 6D
C2, 6C
C3, 6C
C4, 6A
C5, 6C
C6, 6C
C7, 6B
C8, 6C
C9, 6B
CA, 6B
CB, 6C
CC, 69
CD, 6C
CE, 6C
CF, 6C
D0, 6B
D1, 6B
D2, 6B
D3, 68
D4, 6B
D5, 6A
D6, 6C
D7, 6A
D8, 6A
D9, 6C
DA, 69
DB, 6B
DC, 6B
DD, 6D
DE, 6A
DF, 6A
E0, 6B
E1, 6B
E2, 6C
E3, 6B
E4, 6C
E5, 6B
E6, 69
E7, 6B
E8, 6B
E9, 6B
EA, 69
EB, 6B
EC, 69
ED, 6A
EE, 6C
EF, 6C
F0, 6C
F1, 6B
F2, 6C
F3, 6A
F4, 6A
F5, 61
F6, 67
F7, 67
F8, 66
F9, 62
FA, 65
FB, 68
FC, 6B
FD, 69
