FE, 6A
Sample-Nr, Sample
00, 137
01, 95
02, 94
03, 94
04, 93
05, 93
06, 93
07, 95
08, 93
09, 96
0A, 96
0B, 94
0C, 93
0D, 93
0E, 94
0F, 96
10, 94
11, 96
12, 93
13, 92
14, 94
15, 93
16, 97
17, 95
18, 94
19, 93
1A, 93
1B, 93
1C, 94
1D, 95
1E, 93
1F, 94
20, 94
21, 93
22, 94
23, 93
24, 95
25, 94
26, 93
27, 91
28, 95
29, 94
2A, 95
2B, 97
2C, 94
2D, 94
2E, 92
2F, 93
30, 93
31, 93
32, 94
33, 94
34, 94
35, 92
36, 93
37, 96
38, 95
39, 95
3A, 93
3B, 92
3C, 94
3D, 94
3E, 94
3F, 94
40, 96
41, 95
42, 92
43, 93
44, 93
45, 94
46, 94
47, 94
48, 94
49, 91
4A, 93
4B, 94
4C, 94
4D, 94
4E, 96
4F, 93
50, 93
51, 93
52, 96
53, 96
54, 95
55, 94
56, 92
57, 94
58, 94
59, 94
5A, 94
5B, 92
5C, 94
5D, 94
5E, 93
5F, 94
60, 92
61, 94
62, 92
63, 93
64, 94
65, 96
66, 93
67, 91
68, 94
69, 93
6A, 93
6B, 94
6C, 96
6D, 95
6E, 94
6F, 94
70, 94
71, 91
72, 95
73, 94
74, 93
75, 90
76, 8F
77, 8A
78, 8A
79, 90
7A, 90
7B, 93
7C, 91
7D, 93
7E, 93
7F, 95
80, 93
81, 94
82, 96
83, 94
84, 93
85, 93
86, 93
87, 95
88, 95
89, 95
8A, 95
8B, 95
8C, 95
8D, 93
8E, 95
8F, 94
90, 93
91, 94
92, 91
93, 93
94, 94
95, 95
96, 95
97, 93
98, 95
99, 93
9A, 95
9B, 94
9C, 96
9D, 94
9E, 94
9F, 96
A0, 93
A1, 95
A2, 93
A3, 95
A4, 92
A5, 94
A6, 93
A7, 93
A8, 94
A9, 93
AA, 94
AB, 94
AC, 94
AD, 94
AE, 94
AF, 95
B0, 94
B1, 94
B2, 94
B3, 93
B4, 95
B5, 94
B6, 95
B7, 95
B8, 94
B9, 94
BA, 93
BB, 94
BC, 93
BD, 94
BE, 93
BF, 94
C0, 94
C1, 94
C2, 94
C3, 93
C4, 94
C5, 93
C6, 93
C7, 93
C8, 96
C9, 93
CA, 94
CB, 93
CC, 94
CD, 94
CE, 96
CF, 96
D0, 97
D1, 94
D2, 94
D3, 93
D4, 92
D5, 94
D6, 94
D7, 94
D8, 92
D9, 94
DA, 94
DB, 91
DC, 96
DD, 96
DE, 94
DF, 92
E0, 92
E1, 93
E2, 94
E3, 96
E4, 95
E5, 96
E6, 92
E7, 95
E8, 94
E9, 95
EA, 95
EB, 95
EC, 92
ED, 95
EE, 93
EF, 93
F0, 94
F1, 96
F2, 94
F3, 95
F4, 8A
F5, 89
F6, 90
F7, 90
F8, 90
F9, 8B
FA, 8A
FB, 8E
FC, 94
FD, 94
