Sample-Nr, Sample
0,70
1,26
2,27
3,25
4,25
5,27
6,26
7,27
8,24
9,26
10,25
11,25
12,28
13,25
14,25
15,26
16,25
17,27
18,25
19,26
20,25
21,25
22,26
23,27
24,27
25,25
26,26
27,26
28,25
29,27
30,24
31,27
32,26
33,26
34,26
35,24
36,27
37,25
38,27
39,27
40,26
41,26
42,25
43,26
44,28
45,27
46,25
47,26
48,25
49,27
50,28
51,25
52,27
53,26
54,24
55,26
56,25
57,26
58,26
59,25
60,27
61,26
62,26
63,25
64,25
65,27
66,26
67,25
68,24
69,27
70,26
71,27
72,25
73,25
74,26
75,25
76,27
77,27
78,27
79,25
80,26
81,26
82,27
83,26
84,26
85,25
86,25
87,26
88,24
89,24
90,28
91,26
92,26
93,25
94,25
95,28
96,24
97,28
98,26
99,26
100,26
101,25
102,27
103,25
104,27
105,25
106,25
107,25
108,25
109,27
110,25
111,24
112,26
113,24
114,26
115,26
116,26
117,25
118,27
119,18
120,16
121,25
122,28
123,27
124,26
125,24
126,26
127,28
128,26
129,28
130,27
131,24
132,27
133,26
134,25
135,27
136,24
137,25
138,25
139,25
140,27
141,25
142,26
143,27
144,26
145,25
146,26
147,24
148,25
149,28
150,28
151,26
152,26
153,24
154,26
155,27
156,27
157,26
158,26
159,26
160,26
161,27
162,27
163,26
164,25
165,24
166,27
167,27
168,25
169,26
170,26
171,26
172,27
173,25
174,28
175,28
176,25
177,27
178,27
179,27
180,27
181,26
182,26
183,25
184,27
185,26
186,25
187,27
188,26
189,27
190,25
191,25
192,26
193,27
194,25
195,24
196,25
197,26
198,24
199,27
200,27
201,28
202,24
203,26
204,25
205,28
206,26
207,25
208,25
209,25
210,25
211,26
212,25
213,26
214,26
215,27
216,25
217,27
218,24
219,26
220,26
221,27
222,26
223,25
224,25
225,28
226,28
227,28
228,25
229,24
230,25
231,29
232,27
233,25
234,27
235,24
236,26
237,26
238,24
239,26
240,27
241,26
242,25
243,26
244,26
245,26
246,28
247,23
248,22
249,26
250,26
251,27
252,26
253,27
