FE, 95
Sample-Nr, Sample
00, 3FF
01, 2B5
02, 2B6
03, 2B8
04, 2B2
05, 2B0
06, 2B5
07, 2B4
08, 2B6
09, 2B0
0A, 2B4
0B, 2B8
0C, 2B8
0D, 2B8
0E, 2B9
0F, 2BB
10, 2B8
11, 2BA
12, 2B8
13, 2B8
14, 2B8
15, 2B9
16, 2B9
17, 2B7
18, 2B8
19, 2B9
1A, 2B6
1B, 2B9
1C, 2B8
1D, 2BA
1E, 2B9
1F, 2B7
20, 2B6
21, 2B6
22, 2B8
23, 2B9
24, 2BA
25, 2B9
26, 2B7
27, 2B7
28, 2B8
29, 2B9
2A, 2B8
2B, 2B8
2C, 2B6
2D, 2B8
2E, 2B8
2F, 2B6
30, 2B8
31, 2B7
32, 2B9
33, 2B8
34, 2B8
35, 2B8
36, 2B6
37, 2B8
38, 2B8
39, 2BA
3A, 2B8
3B, 2B8
3C, 2B7
3D, 2B7
3E, 2B8
3F, 2B8
40, 2B7
41, 2B7
42, 2B5
43, 2B8
44, 2B8
45, 2BA
46, 2B7
47, 2B8
48, 2B7
49, 2B7
4A, 2B9
4B, 2B7
4C, 2B9
4D, 2B8
4E, 2B8
4F, 2B8
50, 2B6
51, 2B8
52, 2B8
53, 2B9
54, 2B7
55, 2B8
56, 2B5
57, 2B6
58, 2B7
59, 2B9
5A, 2B9
5B, 2B7
5C, 2B6
5D, 2B7
5E, 2B7
5F, 2B8
60, 2B6
61, 2B8
62, 2B7
63, 2B7
64, 2B8
65, 2B6
66, 2B7
67, 2B2
68, 2AF
69, 2B0
6A, 2B3
6B, 2B4
6C, 2B0
6D, 2AE
6E, 2AD
6F, 2B4
70, 2B2
71, 2B2
72, 2AE
73, 2B0
74, 2B5
75, 2B2
76, 2B4
77, 2AF
78, 2AE
79, 2B4
7A, 2B4
7B, 2B5
7C, 2B0
7D, 2AF
7E, 2B4
7F, 2B1
80, 2B2
81, 2B1
82, 2B1
83, 2B4
84, 2B2
85, 2B3
86, 2AD
87, 2B1
88, 2B4
89, 2B4
8A, 2B5
8B, 2B6
8C, 2B7
8D, 2B8
8E, 2B8
8F, 2B8
90, 2B9
91, 2B6
92, 2B6
93, 2B6
94, 2B8
95, 2B8
96, 2B7
97, 2B6
98, 2B8
99, 2B8
9A, 2B8
9B, 2B9
9C, 2B7
9D, 2B7
9E, 2B7
9F, 2B7
A0, 2B6
A1, 2B8
A2, 2B6
A3, 2B8
A4, 2B6
A5, 2B6
A6, 2B7
A7, 2B6
A8, 2B6
A9, 2B8
AA, 2B8
AB, 2B6
AC, 2B7
AD, 2B6
AE, 2B7
AF, 2B7
B0, 2B8
B1, 2B8
B2, 2B6
B3, 2B8
B4, 2B5
B5, 2B6
B6, 2B7
B7, 2B7
B8, 2B8
B9, 2B7
BA, 2B4
BB, 2B6
BC, 2B3
BD, 2B6
BE, 2B6
BF, 2B8
C0, 2B7
C1, 2B6
C2, 2B6
C3, 2B7
C4, 2B8
C5, 2B7
C6, 2B8
C7, 2B5
C8, 2B4
C9, 2B6
CA, 2B6
CB, 2B8
CC, 2B6
CD, 2B7
CE, 2B5
CF, 2B7
D0, 2B6
D1, 2B7
D2, 2B7
D3, 2B4
D4, 2B7
D5, 2B6
D6, 2B6
D7, 2B7
D8, 2B6
D9, 2B8
DA, 2B6
DB, 2B6
DC, 2B8
DD, 2B5
DE, 2B6
DF, 2B6
E0, 2B7
E1, 2B7
E2, 2B7
E3, 2B8
E4, 2B4
E5, 2B6
E6, 2AD
E7, 2B4
E8, 2B2
E9, 2B3
EA, 2AE
EB, 2AC
EC, 2B3
ED, 2B2
EE, 2B6
EF, 2AE
F0, 2AC
F1, 2B2
F2, 2B2
F3, 2B4
F4, 2B0
F5, 2AD
F6, 2B1
F7, 2B2
F8, 2B2
F9, 2AF
FA, 2B1
FB, 2B3
FC, 2B3
FD, 2B2
